Alimento,Quantidade,Calorias (kcal),Proteínas (g),Carboidratos (g),Gorduras (g)
PAO COM OVO,100,248.00,11.55,28.85,9.60
PAO DE BANANA,100,344.00,5.90,45.60,15.30
PAO DE BATATA,100,274.00,8.20,58.20,0.90
PAO DE FORMA,100,269.00,9.30,57.40,0.20
PAO DE HAMBURGUER,100,269.00,9.30,57.40,0.20
PAO DE MILHO,100,287.00,8.00,60.80,1.30
PAO DE QUEIJO,100,434.00,6.63,45.53,25.05
PAO DE SAL,100,269.00,9.30,57.40,0.20
PAO DOCE,100,268.00,7.50,56.30,1.40
PAO INTEGRAL,100,281.00,9.40,57.50,1.50
PAPINHA DE BANANA COM AVEIA NESTLE BABY,100,91.00,1.42,20.58,0.32
PAPINHA DE FRUTAS NESTLE BABY,100,92.00,0.39,21.81,0.32
PAPINHA DE MACA E BANANA NESTLE BABY,100,85.00,0.58,20.13,0.19
PAPINHA DE MACA E LARANJA NESTLE BABY,100,92.00,0.19,22.52,0.13
PAPINHA DE MACA NESTLE BABY,100,82.00,0.19,19.48,0.32
PAPINHA DE PERA NESTLE BABY,100,78.00,0.58,18.32,0.32
PAPINHA FRUT-MEL-F.LACT. NESTLE BABY,100,103.00,1.29,23.68,0.39
PAPINHA MACA-CEREAIS E MEL NESTLE BABY,100,77.00,0.39,18.39,0.19
PAPOS DE ANJO,100,291.25,3.60,55.32,6.17
PASTA DE ATUM,100,321.00,15.89,5.00,26.37
PASTA DE TOFU,100,175.00,10.74,6.10,11.92
PASTEL DE CARNE,100,263.00,13.43,16.60,15.92
PASTEL DE FORNO,100,464.00,10.20,37.56,30.35
PASTEL DE QUEIJO,100,301.00,10.87,20.34,19.62
PATE,100,396.00,15.86,0.00,36.94
PAVE DE AMENDOIM,100,437.00,8.69,38.00,27.82
PAVE DE CHOCOLATE,100,181.00,4.92,18.88,9.48
PAVE DE FRUTA,100,327.00,3.72,30.08,21.26
PE DE MOLEQUE,100,438.00,7.40,70.50,14.10
PÉ DE MOLEQUE,100,338.80,6.75,45.04,14.62
PEIXE A ESCABECHE,100,183.00,18.74,13.16,6.18
PEIXE A MILANESA,100,266.00,21.83,14.80,13.24
PEIXE COZIDO,100,98.00,22.90,0.00,0.70
PEIXE ENSOPADO,100,130.00,17.93,1.91,5.64
PEIXE FRITO,100,364.00,28.90,3.40,26.10
PEPINO,100,17.00,0.70,3.40,0.10
PERA,100,62.00,0.30,14.80,0.20
PERU,100,155.00,24.00,0.00,6.60
PESSEGO,100,48.00,0.80,10.40,0.30
PESSEGO EM CALDA INDUSTR,100,168.00,0.62,40.99,0.17
PICOLE BRIGADEIRO,100,307.00,3.30,29.80,19.40
PICOLE CHICABON,100,166.00,3.60,28.70,4.10
PICOLE COCO,100,145.00,2.20,24.70,4.20
PICOLE DOCE DE LEITE,100,324.00,3.10,30.60,21.00
PICOLE FRAMBOESA,100,94.00,0.00,23.40,0.00
PICOLE FRUTILLY,100,140.00,1.40,25.50,3.60
PICOLE GOIABA,100,103.00,0.00,25.80,0.00
PICOLE LIMAO,100,87.00,0.00,21.70,0.00
PICOLE MILKA BRANCO,100,303.00,3.10,31.20,18.40
PICOLE MILKA CHOCOLATE,100,316.00,3.50,31.70,19.50
PICOLE SUNDAE,100,291.00,3.30,33.40,16.00
PICOLE TABLITO,100,427.00,3.50,28.40,33.30
PICOLE TANGERINA,100,108.00,0.00,27.00,0.00
PICOLE UVA,100,104.00,0.00,25.90,0.00
PIMENTAO,100,56.00,2.00,10.30,0.80
PINHAO COZIDO,100,297.00,5.60,65.40,1.40
PIPOCA COM SAL,100,448.00,9.90,69.40,14.50
PIPOCA DOCE,100,473.00,9.40,99.27,4.30
PIRAO,100,121.00,0.60,29.50,0.10
PISTACHE,100,640.00,22.30,16.30,54.00
PIZZA CALABREZA,100,266.00,11.09,23.25,14.24
PIZZA DE MUZZARELA,100,278.00,14.72,21.94,14.59
PIZZA DE PRESUNTO,100,222.00,10.11,19.23,11.68
PIZZA PORTUGUESA,100,197.00,8.77,18.95,9.58
POLVO REFOGADO,100,82.00,6.54,0.92,5.81
PRESUNTADA,100,459.00,11.90,1.10,45.20
PRESUNTO,100,276.00,16.70,0.00,23.20
PUDIM DE CLARAS,100,215.60,6.14,47.76,0.00
PUDIM DE LEITE,100,182.00,6.70,24.34,6.39
PUDIM DE OVOS,100,329.14,4.75,47.45,13.37
PUDIM DE PÃO,100,205.46,3.34,34.61,5.96
PUDIM DE TAPIOCA,100,242.60,4.66,39.12,7.49
PURE DE BATATA,100,124.00,2.52,18.80,4.33
PURE DE INHAME,100,123.00,1.97,18.38,4.59
QUARTEIRÃO COM QUEIJO MC DONALD'S,100,530.00,28.00,38.00,30.00
QUARTEIRÃO MC DONALD'S,100,420.00,23.00,37.00,21.00
QUEIJADINHA,100,588.00,5.54,73.82,30.01
QUEIJO DE SOJA TOFU,100,147.00,12.50,6.00,8.10
QUEIJO GORGONZOLA,100,480.00,21.60,0.00,43.70
QUEIJO MINAS DANUBIO,100,231.00,14.20,2.90,18.10
QUEIJO MINAS FRESCO,100,243.00,18.00,0.00,19.00
QUEIJO MINAS LIGHT DANUBIO,100,153.00,14.10,3.70,9.10
QUEIJO MUZZARELA,100,325.00,27.20,0.00,24.00
QUEIJO PARMEZAO,100,390.00,36.00,2.90,26.00
QUEIJO POLENGUINHO,100,334.00,12.00,1.75,31.00
QUEIJO PRATO,100,391.00,28.30,0.60,30.60
QUEIJO PROVOLONE,100,337.00,29.93,0.00,24.18
QUEIJO QUENTE SANDUICHE,100,353.00,15.33,33.53,15.54
QUIABO REFOGADO,100,90.00,2.17,8.68,5.21
QUIBE FRITO,100,207.00,10.40,22.50,8.39
QUIBEBE,100,102.00,1.57,12.75,5.01
QUINDIM,100,318.00,4.51,41.56,14.82
RA,100,67.00,16.40,0.00,0.20
RABADA,100,351.00,14.21,2.20,31.69
RABADA,100,351.30,14.82,2.76,31.23
RABANETE,100,25.00,0.90,5.00,0.10
RAPADURA,100,370.00,0.60,92.00,0.00
REFRESCO DE CAJU INDUSTR C/AC,100,48.00,0.42,11.49,0.00
REFRESCO DE GROSELHA C/AC,100,49.00,0.00,12.22,0.00
REFRESCO DE LARANJA C/AC,100,37.00,0.21,8.75,0.11
REFRESCO DE LARANJA CRISTAL DIET,100,1.00,0.04,0.18,0.00
REFRESCO DE LIMAO CRISTAL DIET,100,1.00,0.04,0.18,0.00
REFRESCO DE MARACUJA INDUSTR C/AC,100,54.00,0.33,12.83,0.10
REFRESCO INDUSTR C/AC,100,28.00,0.06,6.98,0.01
REPOLHO,100,33.00,1.70,6.10,0.20
REPOLHO COZIDO,100,13.00,2.20,1.00,0.00
REPOLHO REFOGADO,100,60.00,2.27,1.48,5.01
REQUEIJAO,100,289.00,16.00,8.20,21.40
REQUEIJAO LIGHT DANUBIO,100,188.00,13.00,2.50,14.00
RICOTA,100,179.00,12.60,0.00,14.28
RISOLE DE CARNE,100,425.00,15.37,29.16,27.40
RISOTO DE FRANGO,100,180.00,8.28,25.22,5.06
SAGU COM LEITE,100,126.00,1.30,27.50,1.20
SAGU COM VINHO,100,116.00,0.10,28.90,0.00
SALADA DE BATATA COM MAIONESE,100,152.00,2.41,18.27,7.71
SALADA DE FEIJAO FRADINHO,100,158.00,9.19,24.05,2.73
SALADA DE FRUTAS,100,99.00,0.73,23.55,0.24
SALADA DE LEGUMES,100,83.00,1.32,12.34,3.16
SALADA DE LEGUMES COM MAIONESE,100,134.00,1.80,15.00,7.40
SALAME,100,272.00,18.40,2.80,20.80
SALAMINHO,100,272.00,18.40,2.80,20.80
SALPICAO DE FRANGO,100,187.00,13.09,8.81,11.07
SALSICHA EM LATA,100,292.00,13.10,2.50,25.50
SALSICHAO,100,445.00,19.00,0.00,41.00
SANDUICHE DE ATUM,100,310.00,13.10,27.17,16.52
SANDUICHE DE FRANGO,100,249.00,12.29,27.17,10.16
SARDINHA EM CONSERVA,100,294.00,20.90,0.50,23.20
SARDINHA FRITA,100,364.00,28.90,3.40,26.10
SEQUILHOS,100,370.86,3.46,40.93,21.46
SHOYO,100,72.00,5.60,9.50,1.30
SIMILAC ADVANCE RECONSTITUIDO,100,68.00,1.40,7.10,3.70
SIRI,100,95.00,17.90,1.30,2.00
SOPA CAR- LEG- ARROZ E GEMA NESTLE BABY,100,73.00,3.87,7.60,3.00
SOPA CARNE E LEGUMES NESTLE BABY,100,63.00,3.60,7.20,2.20
SOPA CARNE- HORT E CEREAIS NESTLE BABY,100,72.00,4.60,6.60,3.07
SOPA CARNE-CEN-BATAT-MAND. NESTLE BABY,100,68.00,3.73,8.20,2.20
SOPA CARNE-LEG E MACARRAO NESTLE BABY,100,76.00,4.40,8.27,2.80
SOPA DE ERVILHA,100,97.00,5.62,15.25,1.50
SOPA DE ERVILHA COM BACON,100,130.00,6.04,15.30,4.96
SOPA DE FEIJAO COM MACARRAO,100,132.00,5.18,19.12,3.82
SOPA DE LEGUMES,100,56.00,1.12,9.19,1.62
SOPA DE LEGUMES COM CARNE,100,77.00,6.12,6.13,3.10
SOPA GALINHA- LEG E HORT NESTLE BABY,100,92.00,4.40,8.20,4.67
SOPA GALINHA- LEG E MACARRAO NESTLE BABY,100,93.00,4.20,9.07,4.40
SORVETE CHOCOLATE/LARANJA DIET LINEA,100,84.00,5.57,19.26,0.59
SORVETE INDUSTRIALIZADO,100,191.00,3.10,23.60,9.40
SOYMILKE PO,100,496.00,30.00,35.50,26.00
SOYMILKE RECONSTITUIDO,100,50.00,3.00,3.55,2.60
STROGONOFF DE CARNE,100,173.00,15.95,2.13,11.19
STROGONOFF DE FRANGO,100,199.00,17.41,2.48,13.31
STRUDEL DE MAÇÃ,100,180.10,3.12,26.73,6.74
SUCO DE ABACAXI C/AC,100,43.00,0.16,10.45,0.08
SUCO DE ACEROLA C/AC,100,26.00,0.03,6.44,0.04
SUCO DE BETERRABA C/AC,100,34.00,0.51,7.82,0.03
SUCO DE CUPUACU C/AC,100,36.00,0.34,7.91,0.32
SUCO DE GOIABA C/AC,100,43.00,0.27,10.16,0.12
SUCO DE LAR-CEN E BETERRABA C/AC,100,77.00,0.86,17.66,0.34
SUCO DE LARANJA,100,58.00,0.60,13.10,0.40
SUCO DE LARANJA C/AC,100,76.00,0.57,17.41,0.38
SUCO DE LARANJA E BANANA C/AC,100,64.00,0.76,14.81,0.23
SUCO DE LARANJA E BETERRABA C/AC,100,77.00,0.96,17.64,0.33
SUCO DE LARANJA E CENOURA,100,57.00,0.78,12.73,0.36
SUCO DE LARANJA E CENOURA C/AC,100,77.00,0.78,17.70,0.36
SUCO DE LARANJA- CENOURA E BETERRABA,100,57.00,0.86,12.69,0.34
SUCO DE MAMAO C/AC,100,38.00,0.25,9.12,0.05
SUCO DE MANGA C/AC,100,40.00,0.15,9.59,0.06
SUCO DE MARACUJA,100,10.00,0.20,2.10,0.10
SUCO DE MARACUJA C/AC,100,29.00,0.20,6.88,0.06
SUCO DE MELAO C/AC,100,34.00,0.26,8.19,0.05
SUCO DE MORANGO C/AC,100,40.00,0.40,9.22,0.15
SUCO DE PESSEGO EM CALDA,100,104.00,0.31,25.46,0.08
SUCRILHOS KELLOGG`S,100,360.00,3.33,86.66,0.00
SUFLE DE LEGUMES,100,127.00,5.61,9.98,7.16
SUFLE DE QUEIJO,100,114.00,4.85,6.30,7.71
SUNDAE DE CARAMELO,100,184.00,4.36,28.10,6.06
SUNDAE DE CHOCOLATE,100,189.00,4.26,28.10,6.58
SUNDAE DE MORANGO,100,177.00,4.20,28.10,5.30
SUSPIRO,100,378.00,1.70,92.60,0.10
SUSTAGEM,100,386.00,23.50,65.00,3.50
TANGERINA,100,48.00,0.70,10.90,0.20
TOMATE,100,24.00,0.80,4.60,0.30
TORRADA,100,313.00,11.00,63.60,1.60
TORTA DE LIMAO,100,395.00,5.69,50.05,19.10
TORTA DE MACA MCDONALD`S,100,299.00,2.20,34.47,16.87
TUTU,100,114.00,3.59,13.22,5.25
UMBU,100,48.00,0.60,10.60,0.40
UVA,100,76.00,0.60,16.70,0.70
UVA PASSA,100,299.00,2.30,71.40,0.50
VAGEM COZIDA,100,52.00,3.00,9.48,0.24
VAGEM REFOGADA,100,99.00,3.07,9.96,5.25
VATAPA,100,356.80,24.06,20.11,20.01
YAKULT,100,63.00,2.10,13.60,0.00
