Alimento,Quantidade,Calorias (kcal),Proteínas (g),Carboidratos (g),Gorduras (g)
BISCOITO MAIZENA,100,403.00,9.00,74.10,7.80
BISCOITO MARIA,100,403.00,9.00,74.10,7.80
BISCOITO MINI BITS BACON NABISCO,100,504.00,8.80,61.00,25.00
BISCOITO MIRABEL,100,481.00,6.90,70.30,19.10
BISCOITO PASSATEMPO RECHEADO,100,490.00,7.00,68.60,20.90
BISCOITO PINGO D`OURO,100,497.00,8.50,61.00,24.30
BISCOITO POLVILHO,100,421.00,2.70,79.60,10.20
BISCOITO PRESUNTO PIRAQUE,100,482.00,11.70,65.20,19.40
BISCOITO QUEIJO PIRAQUE,100,490.00,13.70,65.20,19.40
BISCOITO RECHEADO,100,403.00,9.00,74.10,7.80
BISCOITO RECHEADO PIRAQUE,100,480.00,8.50,68.30,19.20
BISCOITO ROSCA DOCE,100,403.00,9.00,74.10,7.80
BISCOITO ROSQUINHA DE LEITE TOSTINES,100,478.00,5.00,73.00,17.00
BISCOITO SALCLIC TRADICIONAL SAO LUIZ,100,493.00,7.20,62.10,24.00
BISCOITO STICKSY SAL ELMA CHIPS,100,383.00,11.20,80.70,1.70
BISCOITO WAFER CHOCOLATE,100,481.00,6.90,70.30,19.10
BISCOITO WAFER CROCANTE,100,472.00,6.60,70.30,18.30
BISCOITO WAFER MORANGO,100,491.00,4.10,69.20,22.00
BISCOITO WAFFER MORANGO DIET GERBAUD,100,445.00,4.91,43.87,24.50
BISCOITO WAFFER QUEIJO PIRAQUE,100,480.00,8.40,68.70,19.10
BISCOTO ZAMBINOS,100,459.00,7.10,73.40,15.20
BLISS,100,87.00,2.40,16.00,1.50
BOBO DE CAMARAO,100,164.00,7.10,20.93,5.79
BOLINHO DE AIPIM COM CARNE,100,190.00,2.81,25.86,8.34
BOLINHO DE ARROZ,100,235.00,6.80,38.50,6.00
BOLINHO DE BACALHAU,100,283.00,16.52,23.41,13.71
BOLINHO DE VAGEM,100,223.00,7.83,16.24,14.12
BOLO COM GLACE E RECHEIO,100,384.00,5.50,64.80,11.38
BOLO DE AIPIM COM COCO,100,304.00,2.50,46.60,11.90
BOLO DE BANANA,100,302.00,6.38,47.67,9.51
BOLO DE CHOCOLATE C/RECHEIO E CALDA CHOC,100,469.00,9.80,56.74,22.56
BOLO DE CHOCOLATE SIMPLES,100,511.00,9.25,56.67,27.49
BOLO DE FUBÁ,100,276.82,5.21,29.54,15.30
BOLO DE MILHO,100,365.00,9.60,77.20,2.00
BOLO DE MILHO VERDE,100,235.40,4.53,32.68,9.61
BOMBA,100,193.00,4.40,33.80,4.50
BOMBOCADO,100,526.38,15.05,103.53,5.78
BOMBOM OURO BRANCO,100,512.00,8.60,57.00,27.70
BOMBOM SONHO DE VALSA,100,515.00,8.50,59.20,27.10
BOMBOM SORTIDO,100,324.00,7.80,54.70,8.20
BROCOLIS COZIDO,100,36.00,2.95,5.54,0.28
BROCOLIS REFOGADO,100,81.00,2.95,5.54,5.28
CACHORRO QUENTE,100,264.00,9.17,25.18,14.06
CAJA-MANGA,100,51.00,0.20,12.40,0.10
CAJU,100,51.00,0.80,11.60,0.20
CALDO DE CARNE,100,17.00,0.10,0.10,1.80
CALDO VERDE,100,61.00,2.39,5.35,3.31
CAMARAO,100,82.00,17.60,0.90,0.90
CAMARAO FRITO,100,159.00,26.40,1.35,5.35
CANELONE DE FRANGO,100,194.00,10.80,19.10,8.30
CANELONE DE RICOTA,100,246.00,9.60,22.30,13.20
CANJA,100,85.00,6.41,9.40,2.43
CAQUI,100,87.00,0.80,20.00,0.40
CARA,100,123.00,2.00,28.40,0.10
CARAMBOLA,100,32.00,0.50,7.30,0.10
CARNE ASSADA,100,288.00,25.25,0.00,20.75
CARNE ENSOPADA,100,186.00,21.50,0.00,11.10
CARNE ENSOPADA COM LEGUMES,100,164.00,13.78,7.53,8.77
CARNE MOIDA,100,195.00,21.81,1.84,11.18
CARNE SECA,100,429.00,42.00,0.00,29.00
CARRE,100,237.00,23.40,0.00,15.92
CASQUINHA DE SORVETE,100,403.00,9.00,74.10,7.80
CASTANHA DE CAJU TORRADA,100,505.00,19.60,47.20,26.40
CASTANHA DO PARA,100,683.00,14.00,13.00,63.90
CASTANHA EUROPEIA COZIDA,100,203.00,2.90,44.40,1.50
CASTANHA PORTUGUESA COZIDA,100,194.00,2.90,42.10,1.50
CEBOLA,100,46.00,1.40,9.70,0.20
CENOURA,100,45.00,1.10,9.70,0.20
CENOURA COZIDA,100,54.00,1.32,11.64,0.24
CENOURA REFOGADA,100,101.00,1.39,12.12,5.25
CEREAL BARRA NUTRY,100,360.00,4.40,76.40,4.80
CEREJA,100,97.00,1.20,22.80,0.10
CHEESEBURGER MC DONALD'S,100,320.00,15.00,35.00,13.00
CHEESEBURGUER,100,256.00,16.08,28.76,8.50
CHICORIA,100,24.00,1.70,4.10,0.10
CHICORIA REFOGADA,100,88.00,2.96,7.45,5.18
CHOCO CROC SUPERBOM,100,406.00,7.80,79.60,1.50
CHOCOKRISPIS KELLOGG`S,100,400.00,6.60,86.60,0.00
CHOCOLATE ALPINO,100,568.00,6.90,54.60,35.80
CHOCOLATE AMARO,100,544.00,4.20,60.80,31.60
CHOCOLATE CASTANHA DE CAJU,100,534.00,7.10,58.90,30.00
CHOCOLATE CHARGE,100,539.00,8.70,58.20,30.20
CHOCOLATE CHOKITO,100,265.00,8.70,18.10,17.50
CHOCOLATE COM LEITE,100,568.00,6.90,54.60,35.80
CHOCOLATE DIAMANTE NEGRO,100,515.00,6.70,62.00,26.70
CHOCOLATE EM PO CRISTAL DIET,100,400.00,20.00,60.00,8.00
CHOCOLATE GALAK,100,530.00,7.60,55.80,30.70
CHOCOLATE KROT,100,559.00,13.00,48.00,35.00
CHOCOLATE LAKA,100,520.00,9.70,49.00,31.70
CHOCOLATE LANCY,100,499.00,8.30,58.00,26.00
CHOCOLATE MILKYBAR,100,466.00,2.80,73.20,18.00
CHOCOLATE PRESTIGIO,100,433.00,3.70,73.70,13.70
CHOKOS KELLOGG`S,100,400.00,6.70,86.70,0.00
CHUCHU A MILANESA,100,182.00,3.33,15.11,12.12
CHUCHU AO MOLHO BRANCO,100,94.00,2.59,11.12,4.38
CHUCHU COZIDO,100,43.00,1.08,9.24,0.24
CHUCHU REFOGADO,100,91.00,1.15,9.72,5.25
CHURRASQUINHO DE PANELA,100,186.00,21.50,0.00,11.10
COCO DA BAHIA,100,314.00,3.50,13.70,27.20
COCO RALADO INDUSTR,100,705.00,7.20,23.00,64.90
COELHO,100,175.00,20.80,0.00,10.20
COGUMELO EM CONSERVA,100,18.00,1.90,2.40,0.10
CORACAO DE GALINHA COZIDO,100,157.00,17.60,0.40,9.40
CORN FLAKES KELLOGG`S,100,367.00,6.60,83.30,0.00
CORN FLAKES SUPERBOM,100,350.00,7.80,79.00,1.50
COSTELA DE BOI ASSADA,100,453.00,30.76,0.48,36.41
COSTELA DE PORCO COZIDA,100,411.00,28.07,0.48,33.01
COUVE,100,50.00,3.60,7.20,0.70
COUVE REFOGADA,100,146.00,7.25,14.88,6.41
COUVE-FLOR A MILANESA,100,152.00,4.65,12.01,9.43
COUVE-FLOR COZIDA,100,41.00,2.80,6.50,0.40
COXINHA DE GALINHA,100,443.00,14.09,36.28,26.86
CREAM CHEESE DANUBIO,100,320.00,8.00,2.00,30.50
CREAM CHEESE LIGHT DANUBIO,100,205.00,11.00,2.50,16.50
CREME CHANTILLY CASEIRO,100,261.00,3.54,14.74,20.84
CREME DE AMENDOIM,100,628.00,24.90,22.20,48.80
CREME DE ESPINAFRE,100,133.00,6.17,12.18,6.64
CREME DE LEITE,100,306.00,2.50,3.60,31.30
CREME DE MILHO,100,106.00,3.34,14.45,3.83
CREMOGEMA CHOCOLATE,100,361.00,2.00,86.00,1.00
CREMOGEMA SABORES,100,361.00,0.15,90.00,0.00
CREMOGEMA TRADICIONAL,100,361.00,0.15,90.00,0.00
CROISSANT,100,413.00,8.77,47.30,21.00
CROISSANT DE QUEIJO,100,410.00,11.90,39.83,22.54
CROQUETE DE CARNE,100,346.00,14.21,37.88,15.25
CROQUETE DE MILHO,100,351.00,8.47,44.44,15.51
CRUNCHY NUT KELLOGG`S,100,367.00,6.70,83.30,3.30
CURAU PAULISTA,100,102.08,3.86,15.90,2.32
CURRY,100,384.00,10.20,52.40,14.80
CUSCUZ DE MILHO,100,190.00,4.81,40.33,1.00
CUSCUZ DE MILHO COM LEITE,100,157.00,4.51,31.47,1.50
CUSCUZ DE TAPIOCA,100,240.38,3.15,36.32,9.15
CUSCUZ DE TAPIOCA,100,248.00,0.80,54.20,3.10
DAMASCO SECO,100,131.00,3.10,29.60,0.00
DANONINHO,100,148.00,6.10,17.40,5.70
DANONINHO COM FERRO,100,144.00,6.40,20.50,4.00
DIET SHAKE DE BAUNILHA,100,359.00,19.50,67.23,1.30
DIET SHAKE DE CHOCOLATE,100,374.00,18.47,67.90,3.13
DIET SHAKE DE MORANGO,100,364.00,16.13,63.87,2.87
DOBRADINHA,100,111.00,9.91,8.25,4.31
DOCE DE COCO,100,469.00,9.41,58.45,22.00
DOCE DE LARANJA EM CALDA,100,344.00,0.60,84.50,0.40
EGGBURGUER,100,234.00,14.76,23.04,9.17
EGGCHEESEBURGUER,100,245.00,15.49,21.37,10.88
EMPADA DE FRANGO,100,466.00,17.40,33.92,28.93
EMPADAO DE FRANGO,100,466.00,17.40,33.92,28.93
ENROLADINHO DE SALSICHA,100,293.00,10.41,11.12,22.99
ENSOPADO DE CHUCHU COM CENOURA,100,94.00,1.20,10.44,5.24
ERVILHA ENLATADA,100,67.00,3.50,12.50,0.30
ERVILHA VAGEM COZIDA,100,96.00,4.68,18.90,0.18
ERVILHA VAGEM REFOGADA,100,143.00,4.75,19.38,5.19
ESFIHA DE CARNE,100,254.00,14.15,36.86,5.51
ESPINAFRE COZIDO,100,60.00,5.60,7.60,0.80
ESPINAFRE REFOGADO,100,107.00,5.67,8.08,5.81
FARELO DE TRIGO,100,310.00,14.50,56.70,2.80
FARINHA DE ARROZ,100,366.00,6.40,80.40,0.80
FARINHA DE MANDIOCA,100,355.00,1.70,86.40,0.30
FARINHA DE ROSCA,100,409.00,11.40,73.60,7.70
FARINHA DE TRIGO,100,356.00,12.00,74.10,1.30
FARINHA LACTEA,100,425.00,13.50,75.10,7.80
FAROFA,100,471.00,1.79,78.81,16.49
FAROFA COM AMEIXA,100,361.00,1.62,57.16,13.98
FAROFA COM LINGUICA,100,359.00,4.20,44.34,18.31
FECULA DE BATATA,100,330.00,0.10,82.10,0.10
FEIJAO BRANCO COZIDO,100,121.00,7.83,21.00,0.61
FEIJAO PRETO COZIDO,100,69.00,4.40,12.20,0.30
FEIJÃO-TROPEIRO,100,368.60,7.17,43.38,18.48
FEIJOADA CASEIRA,100,154.00,8.60,10.50,8.60
FIGADO DE GALINHA COZIDO,100,176.00,19.90,4.40,8.80
FIGO,100,69.00,1.20,15.60,0.20
FLAN COM CALDA DE CARAMELO,100,142.00,3.90,24.30,3.30
FLAN COM CALDA DE MORANGO,100,142.00,3.90,24.30,3.30
FLAN DE BAUNILHA,100,135.00,4.50,20.80,3.80
